pos	country_code	source	date	country_code3	region	variable	value	sdr_id	sdr_name	sdr_level
576	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bombali	"new cases probable"	0	8623	Bombali	ADM2
577	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Tonkolili	"new cases probable"	0	8634	Tonkolili	ADM2
578	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Port Loko"	"new cases probable"	0	8632	"Port Loko"	ADM2
579	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Pujehun	"new cases probable"	0	8633	Pujehun	ADM2
580	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bo	"new cases probable"	0	8625	Bo	ADM2
581	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Moyamba	"new cases probable"	0	8631	Moyamba	ADM2
582	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bonthe	"new cases probable"	0	8624	Bonthe	ADM2
583	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Western area urban"	"new cases probable"	0	149745	"Western Area Urban"	ADM2
584	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Western area rural"	"new cases probable"	0	149746	"Western Area Rural"	ADM2
585	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	National	"new cases confirmed"	0	0		
586	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kailahun	"new cases confirmed"	0	8626	Kailahun	ADM2
587	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kenema	"new cases confirmed"	0	8628	Kenema	ADM2
588	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kono	"new cases confirmed"	1	8630	Kono	ADM2
589	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kambia	"new cases confirmed"	7	8627	Kambia	ADM2
590	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Koinadugu	"new cases confirmed"	2	8629	Koinadugu	ADM2
591	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bombali	"new cases confirmed"	8	8623	Bombali	ADM2
592	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Tonkolili	"new cases confirmed"	19	8634	Tonkolili	ADM2
593	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Port Loko"	"new cases confirmed"	0	8632	"Port Loko"	ADM2
594	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Pujehun	"new cases confirmed"	4	8633	Pujehun	ADM2
595	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bo	"new cases confirmed"	0	8625	Bo	ADM2
596	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Moyamba	"new cases confirmed"	0	8631	Moyamba	ADM2
597	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bonthe	"new cases confirmed"	31	8624	Bonthe	ADM2
598	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Western area urban"	"new cases confirmed"	22	149745	"Western Area Urban"	ADM2
599	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Western area rural"	"new cases confirmed"	94	149746	"Western Area Rural"	ADM2
600	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	National	"cumulative non-cases"	0	0		
601	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kailahun	"cumulative non-cases"	0	8626	Kailahun	ADM2
602	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kenema	"cumulative non-cases"	0	8628	Kenema	ADM2
603	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kono	"cumulative non-cases"	0	8630	Kono	ADM2
604	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kambia	"cumulative non-cases"	0	8627	Kambia	ADM2
605	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Koinadugu	"cumulative non-cases"	0	8629	Koinadugu	ADM2
606	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bombali	"cumulative non-cases"	0	8623	Bombali	ADM2
607	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Tonkolili	"cumulative non-cases"	0	8634	Tonkolili	ADM2
608	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Port Loko"	"cumulative non-cases"	0	8632	"Port Loko"	ADM2
609	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Pujehun	"cumulative non-cases"	0	8633	Pujehun	ADM2
610	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bo	"cumulative non-cases"	0	8625	Bo	ADM2
611	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Moyamba	"cumulative non-cases"	0	8631	Moyamba	ADM2
612	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bonthe	"cumulative non-cases"	0	8624	Bonthe	ADM2
613	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Western area urban"	"cumulative non-cases"	0	149745	"Western Area Urban"	ADM2
614	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Western area rural"	"cumulative non-cases"	0	149746	"Western Area Rural"	ADM2
615	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	National	"cumulative cases suspected"	0	0		
616	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kailahun	"cumulative cases suspected"	0	8626	Kailahun	ADM2
617	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kenema	"cumulative cases suspected"	0	8628	Kenema	ADM2
618	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kono	"cumulative cases suspected"	0	8630	Kono	ADM2
619	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kambia	"cumulative cases suspected"	0	8627	Kambia	ADM2
620	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Koinadugu	"cumulative cases suspected"	0	8629	Koinadugu	ADM2
621	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bombali	"cumulative cases suspected"	0	8623	Bombali	ADM2
622	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Tonkolili	"cumulative cases suspected"	0	8634	Tonkolili	ADM2
623	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Port Loko"	"cumulative cases suspected"	0	8632	"Port Loko"	ADM2
624	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Pujehun	"cumulative cases suspected"	0	8633	Pujehun	ADM2
625	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bo	"cumulative cases suspected"	0	8625	Bo	ADM2
626	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Moyamba	"cumulative cases suspected"	0	8631	Moyamba	ADM2
627	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bonthe	"cumulative cases suspected"	0	8624	Bonthe	ADM2
628	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Western area urban"	"cumulative cases suspected"	0	149745	"Western Area Urban"	ADM2
629	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Western area rural"	"cumulative cases suspected"	0	149746	"Western Area Rural"	ADM2
630	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	National	"cumulative cases probable"	0	0		
631	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kailahun	"cumulative cases probable"	0	8626	Kailahun	ADM2
632	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kenema	"cumulative cases probable"	0	8628	Kenema	ADM2
633	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kono	"cumulative cases probable"	0	8630	Kono	ADM2
634	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kambia	"cumulative cases probable"	0	8627	Kambia	ADM2
635	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Koinadugu	"cumulative cases probable"	0	8629	Koinadugu	ADM2
636	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bombali	"cumulative cases probable"	0	8623	Bombali	ADM2
637	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Tonkolili	"cumulative cases probable"	0	8634	Tonkolili	ADM2
638	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Port Loko"	"cumulative cases probable"	0	8632	"Port Loko"	ADM2
639	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Pujehun	"cumulative cases probable"	0	8633	Pujehun	ADM2
640	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bo	"cumulative cases probable"	0	8625	Bo	ADM2
641	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Moyamba	"cumulative cases probable"	0	8631	Moyamba	ADM2
642	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bonthe	"cumulative cases probable"	0	8624	Bonthe	ADM2
643	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Western area urban"	"cumulative cases probable"	0	149745	"Western Area Urban"	ADM2
644	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Western area rural"	"cumulative cases probable"	79	149746	"Western Area Rural"	ADM2
645	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	National	"cumulative cases confirmed"	558	0		
646	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kailahun	"cumulative cases confirmed"	493	8626	Kailahun	ADM2
647	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kenema	"cumulative cases confirmed"	45	8628	Kenema	ADM2
648	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kono	"cumulative cases confirmed"	53	8630	Kono	ADM2
649	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kambia	"cumulative cases confirmed"	55	8627	Kambia	ADM2
650	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Koinadugu	"cumulative cases confirmed"	659	8629	Koinadugu	ADM2
651	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bombali	"cumulative cases confirmed"	281	8623	Bombali	ADM2
652	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Tonkolili	"cumulative cases confirmed"	644	8634	Tonkolili	ADM2
653	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Port Loko"	"cumulative cases confirmed"	28	8632	"Port Loko"	ADM2
654	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Pujehun	"cumulative cases confirmed"	193	8633	Pujehun	ADM2
655	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bo	"cumulative cases confirmed"	137	8625	Bo	ADM2
656	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Moyamba	"cumulative cases confirmed"	2	8631	Moyamba	ADM2
657	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bonthe	"cumulative cases confirmed"	838	8624	Bonthe	ADM2
658	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Western area urban"	"cumulative cases confirmed"	631	149745	"Western Area Urban"	ADM2
659	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Western area rural"	"cumulative cases confirmed"	4617	149746	"Western Area Rural"	ADM2
660	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	National	"cumulative deaths suspected"	0	0		
661	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kailahun	"cumulative deaths suspected"	0	8626	Kailahun	ADM2
662	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kenema	"cumulative deaths suspected"	0	8628	Kenema	ADM2
663	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kono	"cumulative deaths suspected"	0	8630	Kono	ADM2
664	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kambia	"cumulative deaths suspected"	0	8627	Kambia	ADM2
665	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Koinadugu	"cumulative deaths suspected"	0	8629	Koinadugu	ADM2
666	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bombali	"cumulative deaths suspected"	0	8623	Bombali	ADM2
667	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Tonkolili	"cumulative deaths suspected"	0	8634	Tonkolili	ADM2
668	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Port Loko"	"cumulative deaths suspected"	0	8632	"Port Loko"	ADM2
669	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Pujehun	"cumulative deaths suspected"	0	8633	Pujehun	ADM2
670	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bo	"cumulative deaths suspected"	0	8625	Bo	ADM2
671	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Moyamba	"cumulative deaths suspected"	0	8631	Moyamba	ADM2
672	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bonthe	"cumulative deaths suspected"	0	8624	Bonthe	ADM2
673	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Western area urban"	"cumulative deaths suspected"	0	149745	"Western Area Urban"	ADM2
674	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Western area rural"	"cumulative deaths suspected"	157	149746	"Western Area Rural"	ADM2
675	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	National	"cumulative deaths probable"	0	0		
676	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kailahun	"cumulative deaths probable"	0	8626	Kailahun	ADM2
677	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kenema	"cumulative deaths probable"	0	8628	Kenema	ADM2
678	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kono	"cumulative deaths probable"	0	8630	Kono	ADM2
679	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kambia	"cumulative deaths probable"	0	8627	Kambia	ADM2
680	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Koinadugu	"cumulative deaths probable"	0	8629	Koinadugu	ADM2
681	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bombali	"cumulative deaths probable"	0	8623	Bombali	ADM2
682	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Tonkolili	"cumulative deaths probable"	0	8634	Tonkolili	ADM2
683	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Port Loko"	"cumulative deaths probable"	0	8632	"Port Loko"	ADM2
684	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Pujehun	"cumulative deaths probable"	0	8633	Pujehun	ADM2
685	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bo	"cumulative deaths probable"	0	8625	Bo	ADM2
686	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Moyamba	"cumulative deaths probable"	0	8631	Moyamba	ADM2
687	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bonthe	"cumulative deaths probable"	0	8624	Bonthe	ADM2
688	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Western area urban"	"cumulative deaths probable"	0	149745	"Western Area Urban"	ADM2
689	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Western area rural"	"cumulative deaths probable"	208	149746	"Western Area Rural"	ADM2
690	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	National	"cumulative deaths confirmed"	0	0		
691	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kailahun	"cumulative deaths confirmed"	0	8626	Kailahun	ADM2
692	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kenema	"cumulative deaths confirmed"	0	8628	Kenema	ADM2
693	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kono	"cumulative deaths confirmed"	0	8630	Kono	ADM2
694	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kambia	"cumulative deaths confirmed"	0	8627	Kambia	ADM2
695	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Koinadugu	"cumulative deaths confirmed"	0	8629	Koinadugu	ADM2
696	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bombali	"cumulative deaths confirmed"	0	8623	Bombali	ADM2
697	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Tonkolili	"cumulative deaths confirmed"	0	8634	Tonkolili	ADM2
698	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Port Loko"	"cumulative deaths confirmed"	0	8632	"Port Loko"	ADM2
699	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Pujehun	"cumulative deaths confirmed"	0	8633	Pujehun	ADM2
700	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bo	"cumulative deaths confirmed"	0	8625	Bo	ADM2
701	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Moyamba	"cumulative deaths confirmed"	0	8631	Moyamba	ADM2
702	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bonthe	"cumulative deaths confirmed"	0	8624	Bonthe	ADM2
703	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Western area urban"	"cumulative deaths confirmed"	0	149745	"Western Area Urban"	ADM2
704	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Western area rural"	"cumulative deaths confirmed"	1149	149746	"Western Area Rural"	ADM2
705	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	National	"case fatality rate"	0	0		
706	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kailahun	"case fatality rate"	0	8626	Kailahun	ADM2
707	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kenema	"case fatality rate"	0	8628	Kenema	ADM2
708	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kono	"case fatality rate"	0	8630	Kono	ADM2
709	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kambia	"case fatality rate"	0	8627	Kambia	ADM2
710	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Koinadugu	"case fatality rate"	0	8629	Koinadugu	ADM2
711	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bombali	"case fatality rate"	0	8623	Bombali	ADM2
712	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Tonkolili	"case fatality rate"	0	8634	Tonkolili	ADM2
713	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Port Loko"	"case fatality rate"	0	8632	"Port Loko"	ADM2
714	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Pujehun	"case fatality rate"	0	8633	Pujehun	ADM2
715	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bo	"case fatality rate"	0	8625	Bo	ADM2
716	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Moyamba	"case fatality rate"	0	8631	Moyamba	ADM2
717	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bonthe	"case fatality rate"	0	8624	Bonthe	ADM2
718	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Western area urban"	"case fatality rate"	0	149745	"Western Area Urban"	ADM2
719	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Western area rural"	"case fatality rate"	0	149746	"Western Area Rural"	ADM2
720	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	National	"new admission (ETC)"	0	0		
721	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kailahun	"new admission (ETC)"	0	8626	Kailahun	ADM2
722	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kenema	"new admission (ETC)"	0	8628	Kenema	ADM2
723	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kono	"new admission (ETC)"	0	8630	Kono	ADM2
724	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Kambia	"new admission (ETC)"	0	8627	Kambia	ADM2
725	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Koinadugu	"new admission (ETC)"	0	8629	Koinadugu	ADM2
726	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bombali	"new admission (ETC)"	0	8623	Bombali	ADM2
727	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Tonkolili	"new admission (ETC)"	0	8634	Tonkolili	ADM2
728	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Port Loko"	"new admission (ETC)"	0	8632	"Port Loko"	ADM2
729	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Pujehun	"new admission (ETC)"	0	8633	Pujehun	ADM2
730	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bo	"new admission (ETC)"	0	8625	Bo	ADM2
731	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Moyamba	"new admission (ETC)"	0	8631	Moyamba	ADM2
732	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	Bonthe	"new admission (ETC)"	0	8624	Bonthe	ADM2
733	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Western area urban"	"new admission (ETC)"	0	149745	"Western Area Urban"	ADM2
734	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	"Western area rural"	"new admission (ETC)"	0	149746	"Western Area Rural"	ADM2
735	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 168)"	11/11/14	SLE	National	"currently admitted (ETC)"	0	0		
