Are_PMTCT	Attribute1	Attribute2	Attribute3	Contacts	County	CreationDate	Creator	Deaths	District	Do_facilit	EditDate	Editor	Facility_I	Funding	GOL_facili	GlobalID	HIV_care_a	Head_Docto	Lat	Lon	Patients	Which_cell	X_PROJ	Y_PROJ	a_TB_diagn	beds	facility_n	facility_t	OBJECTID	geometry	country_code	sdr_id	sdr_name	sdr_level
Y			0	6632306.00	"Grand Cape Mount"	"0000-00-00 00:00:00"	davidjhealy	0	Tewor	Y	"0000-00-00 00:00:00"	davidjhealy	LR12-000019	MTI	Y	b5f9d018-5837-4a13-9977-885824589d16	N/A	"Michael Woyah"	-11.36	7.06	0	None	239749.47	780895.74	N	N/A	Gondama	Clinic	124	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.355899999545,7.0586999995648],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	7522	Tewor	ADM1
Y			0	6670478.00	"Grand Cape Mount"	"0000-00-00 00:00:00"	davidjhealy	0	Tewor	Y	"0000-00-00 00:00:00"	davidjhealy	LR12-000017	MTI	Y	8174f5dc-995c-4ffd-a453-9e7698c4d855	N/A	"Kulah  W.kamara"	-11.49	6.88	0	Lonestar	240380.00	760804.00	N	N/A	Diah	Clinic	125	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.349290732985,6.8771331911375],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	7522	Tewor	ADM1
Y			0	6957043.00	"Grand Cape Mount"	"0000-00-00 00:00:00"	davidjhealy	0	Tewor	N	"0000-00-00 00:00:00"	davidjhealy	LR12-000020	MTI	Y	4a1f3660-abe0-4e86-891e-da14ce7b5814	N/A	"Mayango M. Akoi"	-11.31	6.97	0	None	244563.61	770925.34	N	N/A	Tienni	Clinic	126	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.31190000023,6.9687999998956],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	7522	Tewor	ADM1
N			0	76026725.00	"Grand Cape Mount"	"0000-00-00 00:00:00"	davidjhealy	0	Commonwealth	N	"0000-00-00 00:00:00"	davidjhealy	LR12-000003	MTI	Y	a45d88bf-8b65-4f86-bb21-5418623b04fb	N/A	"Faith  K0llie"	-11.30	6.77	0	Lonestar;Cellcom;Libercell;Comium	245414.00	749024.00	N	N/A	Tallah	Clinic	127	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.303254410583,6.7708789729416],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5546	Commonwealth	ADM2
Y			0	6444629.00	"Grand Cape Mount"	"0000-00-00 00:00:00"	davidjhealy	0	Garwula	Y	"0000-00-00 00:00:00"	davidjhealy	LR12-000024	MTI	Y	9d195a09-93ac-4ed5-90aa-c79c8c021145	Y	"Boakai kamara"	-11.14	6.82	0	Lonestar	263855.62	754185.57	N/A	26	Sinje	"Health Center"	128	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.136700000137,6.8183000000315],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5565	Garwula	ADM2
Y			0	6168426.00	"Grand Cape Mount"	"0000-00-00 00:00:00"	davidjhealy	0	Garwula	N	"0000-00-00 00:00:00"	davidjhealy	LR12-000023	MTI	Y	02824bd4-a178-45df-9e0b-00534e4f2364	N/A	"Nyanday Dorbor"	-11.07	6.72	0	Lonestar	271702.46	742956.87	N	N/A	Madina	Clinic	129	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.06530000019,6.7170999999814],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5565	Garwula	ADM2
Y			0	6522494.00	"Grand Cape Mount"	"0000-00-00 00:00:00"	davidjhealy	0	Garwula	Y	"0000-00-00 00:00:00"	davidjhealy	LR12-000011	MTI	Y	bd9cfbcc-758e-4c6e-8686-d41ebced7f42	N/A	"Yassah Y.Wolokolie"	-11.21	6.76	0	Lonestar	255512.29	748005.86	N	N/A	Bendu	Clinic	130	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.211899999852,6.7620999999406],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5565	Garwula	ADM2
N			0	77358797.00	"Grand Cape Mount"	"0000-00-00 00:00:00"	davidjhealy	0	Garwula	Y	"0000-00-00 00:00:00"	davidjhealy	LR12-000005	MTI	Y	57c6e6e6-6d29-4a48-8fd1-61e8faf03a2e	N/A	"Miatta A.Kamara"	-11.13	6.71	0	None	264398.30	741771.33	N	N/A	Jundu	Clinic	131	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.131299999578,6.706099999977],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5565	Garwula	ADM2
N			0	6805297.00	"Grand Cape Mount"	"0000-00-00 00:00:00"	davidjhealy	0	Commonwealth	N	"0000-00-00 00:00:00"	davidjhealy	LR12-000007	"MOHSW only"	Y	1ea5e2a9-5f18-4939-a7b9-d9443ba63687	N/A	"Amie Dunor"	-11.33	6.71	0	None	242001.66	741884.36	N	N/A	Simbehun	Clinic	132	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.333799999622,6.7062000000781],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5546	Commonwealth	ADM2
Y			0	6745574.00	"Grand Cape Mount"	"0000-00-00 00:00:00"	davidjhealy	0	Commonwealth	Y	"0000-00-00 00:00:00"	davidjhealy	LR12-000001	"MOHSW only"	Y	c6647c1f-0e9b-459b-aa5a-02093bb985a8	Y	"Dr.Julius Garbo"	-11.37	6.75	0	Lonestar;Cellcom	238308.86	746792.36	N/A	45	"St. Timothys"	Hospital	133	"""{\""type\"":\""Point\"",\""coordinates\"":[-11.367399999758,6.7503999999607],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5546	Commonwealth	ADM2
N			0	6655740.00	"Grand Gedeh"	"0000-00-00 00:00:00"	davidjhealy	0	Tchien	N	"0000-00-00 00:00:00"	davidjhealy	LR15-000013	Merlin	Y	dfb3d1e4-28ee-4dee-9cc5-811ec2bf459f	N/A	"George G. Taylay"	-8.14	6.06	0	None	595256.87	670189.04	N	N/A	Gorbowrogba	Clinic	134	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.1391999998322,6.0625000002514],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	7512	Tchien	ADM1
Y			0	77382535.00	"Grand Gedeh"	"0000-00-00 00:00:00"	davidjhealy	0	Tchien	Y	"0000-00-00 00:00:00"	davidjhealy	LR15-000016	Merlin	Y	0b583256-03c8-4dd8-b297-68696d5ef628	N/A	"Cecelia T. Nagbah"	-8.24	5.94	0	None	583700.19	656286.50	Y	N/A	"Kumah Town"	Clinic	135	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.2437999996364,5.9369000001218],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	7512	Tchien	ADM1
N			0	6849766.00	"Grand Gedeh"	"0000-00-00 00:00:00"	davidjhealy	0	Tchien	N	"0000-00-00 00:00:00"	davidjhealy	LR15-000012	"Private - for profit"	N	5a55e105-6cf9-4bf2-ab41-df490f2e6ea2	N/A	"Benjamin O. Suamey"	-8.14	6.06	0	Lonestar;Cellcom	595478.05	670288.89	N	N/A	"Christ the King"	Clinic	136	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.1371999998859,6.0634000000258],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	7512	Tchien	ADM1
N			0	6494718.00	"Grand Gedeh"	"0000-00-00 00:00:00"	davidjhealy	0	--EMPTY--	N	"0000-00-00 00:00:00"	davidjhealy	LR15-000001	Merlin	Y	2d998bf5-ae57-40c6-8d7c-1c2fa7c99015	N/A	"J.Karwee Mulbah"	-8.14	6.06	0	None	595290.11	670166.98	N	N/A	"Putu Karlorwleh"	Clinic	137	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.1388999999843,6.0622999997992],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
Y			0	6416387.00	"Grand Gedeh"	"0000-00-00 00:00:00"	davidjhealy	0	Konobo	N	"0000-00-00 00:00:00"	davidjhealy	LR15-000015	Merlin	Y	d27f856f-f21d-4d05-a621-2cecf4973ac5	Y	"Alfred Forleh"	-7.85	5.76	0	None	626778.21	637266.07	N/A	4	"Ziah Town"	"Health Center"	138	"""{\""type\"":\""Point\"",\""coordinates\"":[-7.854999999734,5.7642000000336],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5593	Konobo	ADM2
N			0	6470108.00	"Grand Gedeh"	"0000-00-00 00:00:00"	davidjhealy	0	Tchien	N	"0000-00-00 00:00:00"	davidjhealy	LR15-000021	Merlin	Y	d6bf22c5-a5e3-4b99-b522-47d31590f7e4	N/A	"Dennis K. Willington"	-8.09	5.97	0	None	601084.12	659972.10	N	N/A	"Toffoi Town"	Clinic	139	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.0866999997251,5.9700000004097],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	7512	Tchien	ADM1
Y			0	6669343.00	"Grand Gedeh"	"0000-00-00 00:00:00"	davidjhealy	0	--EMPTY--	Y	"0000-00-00 00:00:00"	davidjhealy	LR15-000007	Merlin	Y	82d5a0e7-3034-4c02-9d55-8ac3a8972140	N/A	"Moses S. Payekar Jr."	-8.04	6.23	0	None	606047.77	688449.26	Y	N/A	Janzon	Clinic	140	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.0413999999248,6.2275000000325],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
N			0	6752360.00	"Grand Gedeh"	"0000-00-00 00:00:00"	davidjhealy	0	--EMPTY--	N	"0000-00-00 00:00:00"	davidjhealy	LR15-000017	Merlin	Y	9a2cc752-3ea8-410b-9868-f50f19de31f3	N/A	"Ophelia Dweh"	-8.03	6.18	0	None	607186.60	682801.77	N	N/A	"Beh Town (Cavalla)"	Clinic	141	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.0311999998777,6.176400000141],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
Y			0	6283427.00	"Grand Gedeh"	"0000-00-00 00:00:00"	davidjhealy	0	Konobo	Y	"0000-00-00 00:00:00"	davidjhealy	LR15-000002	Merlin	Y	b7218c05-e467-4c2d-96da-5a12ae1f5719	N/A	"Mark S. Whymah"	-8.15	5.60	0	None	593728.80	619132.95	Y	N/A	"Putu Pennoken"	Clinic	142	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.1537000001448,5.6006999997734],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5593	Konobo	ADM2
Y			0	6631666.00	"Grand Gedeh"	"0000-00-00 00:00:00"	davidjhealy	0	Konobo	Y	"0000-00-00 00:00:00"	davidjhealy	LR15-000020	Merlin	Y	34cda467-ef75-47b1-b53c-86bf3c61f738	N/A	"Emmanuel Kaifala"	-8.32	5.61	0	None	575186.24	620689.71	N	N/A	"Putu Jarwodee"	Clinic	143	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.3210999998315,5.6150000004298],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5593	Konobo	ADM2
Y			0	6596151.00	"Grand Gedeh"	"0000-00-00 00:00:00"	davidjhealy	0	Tchien	Y	"0000-00-00 00:00:00"	davidjhealy	LR15-000010	Merlin	Y	516fee8a-b476-4f32-a1ee-da10cbc57e21	Y	"Dr. Augustus G. Quiah"	-8.12	6.08	0	Lonestar;Cellcom	596903.07	671905.28	N/A	103	MTM	Hospital	144	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.1243000002824,6.0780000003457],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	7512	Tchien	ADM1
Y			0	76289851.00	"Grand Gedeh"	"0000-00-00 00:00:00"	davidjhealy	0	Gbarzon	Y	"0000-00-00 00:00:00"	davidjhealy	LR15-000008	Merlin	Y	41145acb-410d-4f06-9888-b6f82f8b0ef6	N/A	"Emmett P. Jimmy"	-8.56	6.41	0	Cellcom	549121.96	708437.92	Y	N/A	"Toe Town"	Clinic	145	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.5557999997409,6.4089999998669],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
--EMPTY--			0	6473486.00	"Grand Gedeh"	"0000-00-00 00:00:00"	davidjhealy	0	Gbarzon	--EMPTY--	"0000-00-00 00:00:00"	davidjhealy	LR15-000005	Merlin	Y	406c4c4e-4063-44b2-9e40-85d74d222598	N/A	"Naoni  B. kPasuo"	-8.59	6.11	0	None	544989.20	675723.91	Y	N/A	"Gbarzon Jarwodee"	Clinic	146	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.593399999816,6.1131000001185],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
Y			0	77801151.00	"Grand Gedeh"	"0000-00-00 00:00:00"	davidjhealy	0	Gbarzon	Y	"0000-00-00 00:00:00"	davidjhealy	LR15-000006	Merlin	Y	90765ddd-e821-44eb-ba60-d71ab65700dc	N/A	"sAmuel T. Flomo"	-8.57	6.16	0	Lonestar;Cellcom	547928.06	681187.17	Y	N/A	"Gbarzon Polar"	Clinic	147	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.5668000000459,6.1625000004247],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
Y			0	6858234.00	"Grand Gedeh"	"0000-00-00 00:00:00"	davidjhealy	0	Gbarzon	Y	"0000-00-00 00:00:00"	davidjhealy	LR15-000003	Merlin	Y	9c9b9634-48d5-4e6c-b877-3a0be154d271	Y	"Charles SUwo"	-8.44	6.23	0	Lonestar	561938.68	688319.52	N/A	8	"Zleh Town"	"Health Center"	148	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.4400999997567,6.2269000003104],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
Y			0	6553853.00	"Grand Gedeh"	"0000-00-00 00:00:00"	davidjhealy	0	Tchien	Y	"0000-00-00 00:00:00"	davidjhealy	LR15-000004	Merlin	Y	caeecef6-5982-485f-aac4-7215184c172e	N/A	"Linda K. Lankah"	-8.29	6.19	0	None	578117.65	684635.43	Y	N/A	"Zia Town"	Clinic	149	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.2939000003729,6.19340000024],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	7512	Tchien	ADM1
N			0	6406751.00	"Grand Gedeh"	"0000-00-00 00:00:00"	davidjhealy	0	Tchien	N	"0000-00-00 00:00:00"	davidjhealy	LR15-000009	Merlin	Y	5f27307a-7fca-4f3e-8ce1-96219c2fa8b4	N/A	"Kokulo G. Zayzay"	-8.25	6.17	0	None	582812.30	682099.16	N	N/A	Tuzon	Clinic	150	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.2515000003917,6.1703999998184],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	7512	Tchien	ADM1
N			0	6401876.00	"Grand Gedeh"	"0000-00-00 00:00:00"	davidjhealy	0	Tchien	N	"0000-00-00 00:00:00"	davidjhealy	LR15-000011	Merlin	Y	3ead0f17-95ac-4e79-ab67-2d2539be2db0	N/A	"Karthrine Y. Sawyer"	-8.19	6.11	0	Lonestar	589461.39	675210.31	N	N/A	Gboloken	Clinic	151	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.1914999997701,6.1079999999302],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	7512	Tchien	ADM1
N			0	77118269.00	"Grand Kru"	"0000-00-00 00:00:00"	davidjhealy	0	--EMPTY--	N	"0000-00-00 00:00:00"	davidjhealy	LR18-000004	MSF-B	Y	2aa39af3-e29f-4633-86d6-3bbaa587d92f	N/A	"Saritta B. Gloglo"	-7.96	4.73	0	Cellcom	615817.26	523193.52	N	N/A	"Gblebo Health"	Clinic	152	"""{\""type\"":\""Point\"",\""coordinates\"":[-7.9556999999936,4.7325999999955],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
N			0	770228964.00	"Grand Kru"	"0000-00-00 00:00:00"	davidjhealy	0	--EMPTY--	N	"0000-00-00 00:00:00"	davidjhealy	LR18-000010	"MOHSW only"	Y	75a03f83-0236-4b0d-9e97-2732700c4d93	N/A	"Cynthia y.  Paye"	-7.93	4.50	0	None	618307.24	497349.19	N	N/A	Garraway	Clinic	153	"""{\""type\"":\""Point\"",\""coordinates\"":[-7.933599999966,4.4987999995708],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
N			0	76392086.00	"Grand Kru"	"0000-00-00 00:00:00"	davidjhealy	0	--EMPTY--	N	"0000-00-00 00:00:00"	davidjhealy	LR18-000016	"MOHSW only"	Y	21c4f726-448b-46b0-bfad-93c7caac1e05	N/A	"Philip Saygba"	-7.86	4.50	0	None	626084.83	497582.03	N	N/A	Willsonville	Clinic	154	"""{\""type\"":\""Point\"",\""coordinates\"":[-7.8634999998777,4.5007999999679],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
N			0	77159134.00	"Grand Kru"	"0000-00-00 00:00:00"	davidjhealy	0	--EMPTY--	N	"0000-00-00 00:00:00"	davidjhealy	LR18-000009	"MOHSW only"	Y	4c2a5dfe-60d0-4521-9816-2b3706c1953d	N/A	"Amos q. Hinneh"	-7.92	4.59	0	None	619335.37	507322.90	N	N/A	Genoyah	Clinic	155	"""{\""type\"":\""Point\"",\""coordinates\"":[-7.9242000003124,4.5889999997014],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
Y			0	76640372.00	"Grand Kru"	"0000-00-00 00:00:00"	davidjhealy	0	Trehn	Y	"0000-00-00 00:00:00"	davidjhealy	LR18-000012	Merlin	Y	2802cc25-ff47-4392-9a8b-be447425817a	N	"Samuel j. Jee"	-7.87	4.64	0	Cellcom;Comium	625361.95	512760.63	N/A	8	Behwan	"Health Center"	156	"""{\""type\"":\""Point\"",\""coordinates\"":[-7.8697999998901,4.6381000004372],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
Y			0	77529506.00	"Grand Kru"	"0000-00-00 00:00:00"	davidjhealy	0	--EMPTY--	Y	"0000-00-00 00:00:00"	davidjhealy	LR18-000005	"MOHSW only"	Y	a7b0d2b3-10b8-4584-b1f2-32408340f2c3	N/A	"Annie sumo"	-7.93	4.69	0	None	618364.04	518764.06	N	N/A	Newaken	Clinic	157	"""{\""type\"":\""Point\"",\""coordinates\"":[-7.9327999996577,4.6924999998812],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
Y			0	77366355.00	"Grand Kru"	"0000-00-00 00:00:00"	davidjhealy	0	Sasstown	Y	"0000-00-00 00:00:00"	davidjhealy	LR18-000013	Merlin	Y	511fa164-b2e3-470e-b8ef-d484038a540c	N	"Lawrence clarke"	-8.43	4.67	0	Cellcom	563650.80	516654.90	N/A	6	"Sass Town"	"Health Center"	158	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.4261000001994,4.6739999995949],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	7411	Sasstown	ADM1
N			0	76327054.00	"Grand Kru"	"0000-00-00 00:00:00"	davidjhealy	0	--EMPTY--	N	"0000-00-00 00:00:00"	davidjhealy	LR18-000003	Merlin	Y	ea34ceb1-0f93-4758-961b-8afb675d18be	N/A	"Moses j. Mawolo"	-8.38	4.89	0	None	568521.09	540017.03	N	N/A	Nyankupo	Clinic	159	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.3819999997095,4.8853000000286],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
N			0	76071606.00	"Grand Kru"	"0000-00-00 00:00:00"	davidjhealy	0	Buah	N	"0000-00-00 00:00:00"	davidjhealy	LR18-000017	Merlin	Y	9bdf2d35-c617-4e00-b514-17fe25283314	N	"Nathaniel kadjay"	-8.16	4.95	0	None	592961.07	547671.44	N/A	--EMPTY--	"Buah HC"	"Health Center"	160	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.1614999999482,4.9542999999919],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5539	Buah	ADM2
Y			0	77361337.00	"Grand Kru"	"0000-00-00 00:00:00"	davidjhealy	0	--EMPTY--	Y	"0000-00-00 00:00:00"	davidjhealy	LR18-000001	Merlin	Y	5bacbd06-7a37-4eda-a106-bde97e81231c	Y	"Dr Harun kamara"	-8.22	4.58	0	Cellcom	586322.73	505743.56	N/A	37	"Rally Time"	Hospital	161	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.2218000003018,4.5750999998245],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
N			0	77319112.00	"Grand Kru"	"0000-00-00 00:00:00"	davidjhealy	0	Barclayville	N	"0000-00-00 00:00:00"	davidjhealy	LR18-000006	"MOHSW only"	Y	00d2b257-0228-4813-90fc-0ac039a7cc3d	N/A	"Joseph  naimah"	-70455.00	4.60	0	None	606431.00	509329.00	N	N/A	Juduken	Clinic	162	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.0404960494477,4.6073119505589],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5845	Barclayville	ADM1
N			0	77162049.00	"Grand Kru"	"0000-00-00 00:00:00"	davidjhealy	0	Barclayville	N	"0000-00-00 00:00:00"	davidjhealy	LR18-000011	"MOHSW only"	Y	c6cb652b-e1ad-4760-b14a-24031f06ea78	N/A	"Magdaline kossor"	-8.80	4.62	0	Cellcom	577366.00	510980.00	N	N/A	Picnicess	Clinic	163	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.3024946474023,4.622552393039],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5845	Barclayville	ADM1
N			0	76437760.00	"Grand Kru"	"0000-00-00 00:00:00"	davidjhealy	0	Barclayville	N	"0000-00-00 00:00:00"	davidjhealy	LR18-000014	"MOHSW only"	Y	f154e415-c435-400d-b36b-0d57e3f7d77a	N/A	"J kollie nupolu"	-8.16	4.71	0	Cellcom	593327.04	520719.83	N	N/A	Feloken	Clinic	164	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.1584999999744,4.7105000002868],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	5845	Barclayville	ADM1
N			0	77884851.00	"Grand Kru"	"0000-00-00 00:00:00"	davidjhealy	0	--EMPTY--	N	"0000-00-00 00:00:00"	davidjhealy	LR18-000007	"MOHSW only"	Y	d133f3a3-a52a-4290-a3de-ecb663fb6a8f	N/A	"Marion ksumo"	-8.11	4.68	0	Lonestar;Cellcom	598455.26	517586.54	N	N/A	Gbanken	Clinic	165	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.1123000001009,4.682099999865],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
Y			0	77578702.00	"Grand Kru"	"0000-00-00 00:00:00"	davidjhealy	0	--EMPTY--	Y	"0000-00-00 00:00:00"	davidjhealy	LR18-000002	Merlin	Y	4b4a5a7c-2eab-4070-acfe-2924cc26dd19	Y	"Precious mulbah"	-8.23	4.67	0	Cellcom	585068.66	516509.51	N/A	7	Barclayville	"Health Center"	166	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.2330000000307,4.6725000003664],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
N			0	772213874.00	"Grand Kru"	"0000-00-00 00:00:00"	davidjhealy	0	--EMPTY--	N	"0000-00-00 00:00:00"	davidjhealy	LR18-000015	Merlin	Y	e60c35a0-6361-45f1-8725-8b3d11ecf56d	N/A	"Andrew jleh"	-8.54	4.75	0	Cellcom	550901.70	524737.15	N	N/A	Niful	Clinic	167	"""{\""type\"":\""Point\"",\""coordinates\"":[-8.5410000002619,4.747199999718],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	0		
Y			0	6551984.00	Lofa	"0000-00-00 00:00:00"	davidjhealy	0	Foya	Y	"0000-00-00 00:00:00"	davidjhealy	LR21-000045	"MOHSW only"	Y	f4987e26-0bb9-4662-970f-c65d6f7a8721	Y	"Dr. Hayford M. Howard."	-10.20	8.35	0	Lonestar;Cellcom;Comium	367813.48	923734.18	N/A	120	"Foya Kamara"	Hospital	168	"""{\""type\"":\""Point\"",\""coordinates\"":[-10.200499999955,8.3548999999053],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	6430	"Foya Tengia"	ADM1
--EMPTY--			0	6985248.00	Lofa	"0000-00-00 00:00:00"	davidjhealy	0	Voinjama	--EMPTY--	"0000-00-00 00:00:00"	davidjhealy	LR21-000024	IRC	Y	444f90b3-fe03-46a2-ba0e-297ecae87e68	N/A	"Wilmot Wymon"	-9.75	8.42	0	Lonestar;Cellcom;Comium	417469.07	931284.47	--EMPTY--	N/A	"Tellewoyan OPD"	Clinic	169	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.7496999996842,8.4243000000399],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	7615	Voinjama	ADM1
Y			0	6557945.00	Lofa	"0000-00-00 00:00:00"	davidjhealy	0	Voinjama	Y	"0000-00-00 00:00:00"	davidjhealy	LR21-000053	IRC	Y	b3b11f15-0ce1-4c62-a283-be89c2e93bc6	Y	"Dr. J. Kardor Jallah"	-9.75	8.43	0	Lonestar;Cellcom;Libercell;Comium	417733.71	931505.09	N/A	120	Tellewoyan	Hospital	170	"""{\""type\"":\""Point\"",\""coordinates\"":[-9.7472999998653,8.4263000003588],\""crs\"":{\""type\"":\""name\"",\""properties\"":{\""name\"":\""EPSG:4326\""}}}"""	LR	7615	Voinjama	ADM1
